agecat,first_dose_pcttakeup,full_regimen_pcttakeup,vacc_date
5-11,51.0,6.0,2022-01-25
5-11,52.0,7.0,2022-01-26
5-11,53.0,8.0,2022-01-27
5-11,54.0,10.0,2022-01-28
5-11,55.0,13.0,2022-01-29
5-11,56.0,15.0,2022-01-30
5-11,57.0,16.0,2022-01-31
5-11,57.0,16.0,2022-02-01
5-11,57.0,16.0,2022-02-02
5-11,59.0,18.0,2022-02-03
5-11,59.0,20.0,2022-02-04
5-11,60.0,22.0,2022-02-05
5-11,61.0,25.0,2022-02-06
5-11,61.0,26.0,2022-02-07
5-11,62.0,27.0,2022-02-08
5-11,63.0,28.0,2022-02-09
5-11,63.0,30.0,2022-02-10
5-11,64.0,32.0,2022-02-11
5-11,64.0,35.0,2022-02-12
5-11,64.0,38.0,2022-02-13
5-11,65.0,38.0,2022-02-14
5-11,66.0,39.0,2022-02-15
5-11,66.0,40.0,2022-02-16
5-11,67.0,41.0,2022-02-17
5-11,68.0,43.0,2022-02-18
5-11,68.0,46.0,2022-02-19
5-11,69.0,47.0,2022-02-20
5-11,69.0,48.0,2022-02-21
5-11,69.0,48.0,2022-02-22
5-11,70.0,48.0,2022-02-23
5-11,70.0,49.0,2022-02-24
5-11,71.0,51.0,2022-02-25
5-11,71.0,53.0,2022-02-26
5-11,72.0,54.0,2022-02-27
5-11,72.0,55.0,2022-02-28
5-11,72.0,55.0,2022-03-01
5-11,72.0,55.0,2022-03-02
5-11,73.0,56.0,2022-03-03
5-11,73.0,56.0,2022-03-04
5-11,73.0,57.0,2022-03-05
5-11,73.0,57.0,2022-03-06
5-11,73.0,58.0,2022-03-07
5-11,73.0,58.0,2022-03-08
5-11,74.0,58.0,2022-03-09
5-11,74.0,59.0,2022-03-10
5-11,74.0,59.0,2022-03-11
5-11,74.0,60.0,2022-03-12
5-11,74.0,61.0,2022-03-13
5-11,75.0,61.0,2022-03-14
5-11,75.0,61.0,2022-03-15
5-11,75.0,62.0,2022-03-16
5-11,75.0,62.0,2022-03-17
5-11,75.0,63.0,2022-03-18
5-11,75.0,64.0,2022-03-19
5-11,75.0,64.0,2022-03-20
5-11,76.0,65.0,2022-03-21
5-11,76.0,65.0,2022-03-22
5-11,76.0,65.0,2022-03-23
5-11,76.0,65.0,2022-03-24
5-11,76.0,65.0,2022-03-25
5-11,76.0,66.0,2022-03-26
5-11,76.0,66.0,2022-03-27
5-11,76.0,66.0,2022-03-28
5-11,76.0,66.0,2022-03-29
5-11,76.0,67.0,2022-03-30
5-11,76.0,67.0,2022-03-31
5-11,76.0,67.0,2022-04-01
5-11,77.0,67.0,2022-04-02
5-11,77.0,67.0,2022-04-03
5-11,77.0,67.0,2022-04-04
5-11,77.0,68.0,2022-04-05
5-11,77.0,68.0,2022-04-06
5-11,77.0,68.0,2022-04-07
5-11,77.0,68.0,2022-04-08
5-11,77.0,68.0,2022-04-09
5-11,77.0,69.0,2022-04-10
5-11,77.0,69.0,2022-04-11
5-11,77.0,69.0,2022-04-12
5-11,77.0,69.0,2022-04-13
5-11,77.0,69.0,2022-04-14
5-11,77.0,69.0,2022-04-15
5-11,77.0,69.0,2022-04-16
5-11,77.0,69.0,2022-04-17
5-11,77.0,69.0,2022-04-18
5-11,77.0,69.0,2022-04-19
5-11,77.0,70.0,2022-04-20
5-11,77.0,70.0,2022-04-21
5-11,78.0,70.0,2022-04-22
5-11,78.0,70.0,2022-04-23
5-11,78.0,70.0,2022-04-24
5-11,78.0,70.0,2022-04-25
5-11,78.0,70.0,2022-04-26
5-11,78.0,70.0,2022-04-27
5-11,78.0,70.0,2022-04-28
5-11,78.0,71.0,2022-04-29
5-11,78.0,71.0,2022-04-30
5-11,78.0,71.0,2022-05-01
5-11,78.0,71.0,2022-05-02
5-11,78.0,71.0,2022-05-03
5-11,78.0,71.0,2022-05-04
5-11,78.0,71.0,2022-05-05
5-11,78.0,71.0,2022-05-06
5-11,78.0,71.0,2022-05-07
5-11,78.0,71.0,2022-05-08
5-11,78.0,71.0,2022-05-09
5-11,78.0,71.0,2022-05-10
5-11,78.0,71.0,2022-05-11
5-11,78.0,71.0,2022-05-12
5-11,78.0,71.0,2022-05-13
5-11,78.0,72.0,2022-05-14
5-11,78.0,72.0,2022-05-15
5-11,78.0,72.0,2022-05-16
5-11,78.0,72.0,2022-05-17
5-11,79.0,72.0,2022-05-18
5-11,79.0,72.0,2022-05-19
5-11,79.0,72.0,2022-05-20
5-11,79.0,72.0,2022-05-21
5-11,79.0,72.0,2022-05-22
5-11,79.0,72.0,2022-05-23
5-11,79.0,72.0,2022-05-24
5-11,79.0,72.0,2022-05-25
5-11,79.0,72.0,2022-05-26
5-11,79.0,72.0,2022-05-27
5-11,79.0,73.0,2022-05-28
5-11,79.0,73.0,2022-05-29
5-11,79.0,73.0,2022-05-30
5-11,79.0,73.0,2022-05-31
5-11,79.0,73.0,2022-06-01
5-11,79.0,73.0,2022-06-02
5-11,79.0,73.0,2022-06-03
5-11,79.0,73.0,2022-06-04
5-11,79.0,73.0,2022-06-05
5-11,79.0,73.0,2022-06-06
5-11,79.0,73.0,2022-06-07
5-11,79.0,74.0,2022-06-08
5-11,79.0,74.0,2022-06-09
5-11,79.0,74.0,2022-06-10
5-11,79.0,74.0,2022-06-11
5-11,79.0,74.0,2022-06-12
5-11,80.0,74.0,2022-06-13
5-11,80.0,74.0,2022-06-14
5-11,80.0,74.0,2022-06-15
5-11,80.0,74.0,2022-06-16
5-11,80.0,74.0,2022-06-17
5-11,80.0,74.0,2022-06-18
5-11,80.0,74.0,2022-06-19
5-11,80.0,74.0,2022-06-20
5-11,80.0,74.0,2022-06-21
5-11,80.0,75.0,2022-06-22
5-11,80.0,75.0,2022-06-23
5-11,80.0,75.0,2022-06-24
5-11,80.0,75.0,2022-06-25
5-11,80.0,75.0,2022-06-26
5-11,80.0,75.0,2022-06-27
5-11,80.0,75.0,2022-06-28
5-11,80.0,75.0,2022-06-29
5-11,80.0,75.0,2022-06-30
5-11,80.0,75.0,2022-07-01
5-11,80.0,75.0,2022-07-02
5-11,80.0,75.0,2022-07-03
5-11,80.0,75.0,2022-07-04
5-11,80.0,75.0,2022-07-05
5-11,80.0,75.0,2022-07-06
5-11,80.0,75.0,2022-07-07
5-11,80.0,75.0,2022-07-08
5-11,80.0,75.0,2022-07-09
5-11,80.0,75.0,2022-07-10
5-11,80.0,75.0,2022-07-11
5-11,80.0,75.0,2022-07-12
5-11,80.0,75.0,2022-07-13
5-11,80.0,75.0,2022-07-14
5-11,80.0,75.0,2022-07-15
5-11,80.0,76.0,2022-07-16
5-11,80.0,76.0,2022-07-17
5-11,80.0,76.0,2022-07-18
5-11,80.0,76.0,2022-07-19
5-11,80.0,76.0,2022-07-20
5-11,80.0,76.0,2022-07-21
5-11,80.0,76.0,2022-07-22
5-11,80.0,76.0,2022-07-23
5-11,80.0,76.0,2022-07-24
5-11,80.0,76.0,2022-07-25
12-19,0.0,0.0,2020-12-30
12-19,0.0,0.0,2020-12-31
12-19,0.0,0.0,2021-01-01
12-19,0.0,0.0,2021-01-02
12-19,0.0,0.0,2021-01-03
12-19,0.0,0.0,2021-01-04
12-19,0.0,0.0,2021-01-05
12-19,0.0,0.0,2021-01-06
12-19,0.0,0.0,2021-01-07
12-19,0.0,0.0,2021-01-08
12-19,0.0,0.0,2021-01-09
12-19,0.0,0.0,2021-01-10
12-19,0.0,0.0,2021-01-11
12-19,0.0,0.0,2021-01-12
12-19,0.0,0.0,2021-01-13
12-19,0.0,0.0,2021-01-14
12-19,0.0,0.0,2021-01-15
12-19,0.0,0.0,2021-01-16
12-19,0.0,0.0,2021-01-17
12-19,0.0,0.0,2021-01-18
12-19,0.0,0.0,2021-01-19
12-19,0.0,0.0,2021-01-20
12-19,0.0,0.0,2021-01-21
12-19,0.0,0.0,2021-01-22
12-19,0.0,0.0,2021-01-23
12-19,0.0,0.0,2021-01-24
12-19,0.0,0.0,2021-01-25
12-19,0.0,0.0,2021-01-26
12-19,0.0,0.0,2021-01-27
12-19,0.0,0.0,2021-01-28
12-19,0.0,0.0,2021-01-29
12-19,0.0,0.0,2021-01-30
12-19,0.0,0.0,2021-01-31
12-19,0.0,0.0,2021-02-01
12-19,0.0,0.0,2021-02-02
12-19,0.0,0.0,2021-02-03
12-19,0.0,0.0,2021-02-04
12-19,0.0,0.0,2021-02-05
12-19,1.0,0.0,2021-02-06
12-19,1.0,0.0,2021-02-07
12-19,1.0,0.0,2021-02-08
12-19,1.0,0.0,2021-02-09
12-19,1.0,0.0,2021-02-10
12-19,1.0,0.0,2021-02-11
12-19,1.0,0.0,2021-02-12
12-19,1.0,0.0,2021-02-13
12-19,1.0,0.0,2021-02-14
12-19,1.0,0.0,2021-02-15
12-19,1.0,0.0,2021-02-16
12-19,1.0,0.0,2021-02-17
12-19,1.0,0.0,2021-02-18
12-19,1.0,0.0,2021-02-19
12-19,1.0,0.0,2021-02-20
12-19,1.0,0.0,2021-02-21
12-19,1.0,0.0,2021-02-22
12-19,1.0,0.0,2021-02-23
12-19,1.0,0.0,2021-02-24
12-19,1.0,0.0,2021-02-25
12-19,1.0,0.0,2021-02-26
12-19,1.0,0.0,2021-02-27
12-19,1.0,0.0,2021-02-28
12-19,1.0,1.0,2021-03-01
12-19,1.0,1.0,2021-03-02
12-19,1.0,1.0,2021-03-03
12-19,1.0,1.0,2021-03-04
12-19,1.0,1.0,2021-03-05
12-19,1.0,1.0,2021-03-06
12-19,1.0,1.0,2021-03-07
12-19,1.0,1.0,2021-03-08
12-19,1.0,1.0,2021-03-09
12-19,1.0,1.0,2021-03-10
12-19,1.0,1.0,2021-03-11
12-19,1.0,1.0,2021-03-12
12-19,1.0,1.0,2021-03-13
12-19,1.0,1.0,2021-03-14
12-19,1.0,1.0,2021-03-15
12-19,1.0,1.0,2021-03-16
12-19,1.0,1.0,2021-03-17
12-19,1.0,1.0,2021-03-18
